league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2016-12-11,Feirense,Porto,0,4,A,0,2,A,10.0,5.25,1.29,,6,A,0,3,-4,4,A,-2,2
P1,2016-12-11,Nacional,Tondela,3,2,H,0,2,A,2.05,3.2,3.8,,6,H,3,0,1,5,A,-2,2
P1,2016-12-11,Sp Braga,Pacos Ferreira,3,0,H,2,0,H,1.6,3.5,6.5,,6,H,3,0,3,3,H,2,2
P1,2016-12-12,Arouca,Rio Ave,0,2,A,0,0,D,2.6,3.0,2.88,,0,A,0,3,-2,2,D,0,0
P1,2016-12-15,Porto,Maritimo,2,1,H,1,0,H,1.2,6.0,15.0,,3,H,3,0,1,3,H,1,1
P1,2016-12-16,Pacos Ferreira,Belenenses,1,0,H,0,0,D,2.45,3.1,3.0,,4,H,3,0,1,1,D,0,0
P1,2016-12-17,Estoril,Benfica,0,1,A,0,0,D,13.0,5.75,1.22,,5,A,0,3,-1,1,D,0,0
P1,2016-12-17,Moreirense,Arouca,1,4,A,0,2,A,2.15,3.1,3.6,,5,A,0,3,-3,5,A,-2,2
P1,2016-12-18,Guimaraes,Setubal,3,1,H,1,0,H,1.67,3.6,5.5,,6,H,3,0,2,4,H,1,1
P1,2016-12-18,Rio Ave,Nacional,2,1,H,0,0,D,1.85,3.3,4.5,,6,H,3,0,1,3,D,0,0
P1,2016-12-18,Sp Lisbon,Sp Braga,0,1,A,0,0,D,1.44,4.0,8.0,,6,A,0,3,-1,1,D,0,0
P1,2016-12-18,Tondela,Boavista,1,1,D,1,0,H,2.4,3.0,3.2,,6,D,1,1,0,2,H,1,1
P1,2016-12-19,Maritimo,Feirense,2,0,H,2,0,H,1.67,3.75,5.0,,0,H,3,0,2,2,H,2,2
P1,2016-12-19,Porto,Chaves,2,1,H,0,1,A,1.17,7.5,14.0,,0,H,3,0,1,3,A,-1,1
P1,2016-12-21,Benfica,Rio Ave,2,0,H,2,0,H,1.2,6.0,15.0,,2,H,3,0,2,2,H,2,2
P1,2016-12-22,Belenenses,Sp Lisbon,0,1,A,0,0,D,8.5,4.75,1.36,,3,A,0,3,-1,1,D,0,0
P1,2016-12-22,Chaves,Estoril,1,0,H,0,0,D,2.05,3.1,4.0,,3,H,3,0,1,1,D,0,0
P1,2016-12-22,Feirense,Pacos Ferreira,2,0,H,1,0,H,3.0,3.2,2.4,,3,H,3,0,2,2,H,1,1
P1,2016-12-22,Nacional,Boavista,0,2,A,0,2,A,2.0,3.4,3.75,,3,A,0,3,-2,2,A,-2,2
P1,2016-12-22,Sp Braga,Moreirense,2,1,H,1,1,D,1.53,4.0,6.0,,3,H,3,0,1,3,D,0,2
P1,2016-12-23,Arouca,Guimaraes,0,1,A,0,0,D,3.0,3.2,2.38,,4,A,0,3,-1,1,D,0,0
P1,2016-12-23,Setubal,Tondela,3,0,H,2,0,H,2.05,3.2,3.75,,4,H,3,0,3,3,H,2,2
P1,2017-01-07,Estoril,Maritimo,0,1,A,0,1,A,2.88,3.0,2.63,,5,A,0,3,-1,1,A,-1,1
P1,2017-01-07,Guimaraes,Benfica,0,2,A,0,2,A,5.5,3.75,1.62,,5,A,0,3,-2,2,A,-2,2
P1,2017-01-07,Nacional,Sp Braga,0,0,D,0,0,D,3.5,3.3,2.1,,5,D,1,1,0,0,D,0,0
P1,2017-01-07,Pacos Ferreira,Porto,0,0,D,0,0,D,8.0,4.75,1.36,,5,D,1,1,0,0,D,0,0
P1,2017-01-08,Boavista,Setubal,1,0,H,1,0,H,2.3,3.1,3.3,,6,H,3,0,1,1,H,1,1
P1,2017-01-08,Rio Ave,Chaves,2,2,D,1,0,H,1.85,3.1,5.0,,6,D,1,1,0,4,H,1,1
P1,2017-01-08,Sp Lisbon,Feirense,2,1,H,2,0,H,1.17,7.0,15.0,,6,H,3,0,1,3,H,2,2
P1,2017-01-08,Tondela,Arouca,1,2,A,0,1,A,2.4,3.1,3.1,,6,A,0,3,-1,3,A,-1,1
P1,2017-01-09,Moreirense,Belenenses,1,0,H,0,0,D,2.3,3.5,2.88,,0,H,3,0,1,1,D,0,0
P1,2017-01-13,Arouca,Estoril,2,1,H,0,0,D,1.83,3.25,4.75,,4,H,3,0,1,3,D,0,0
P1,2017-01-14,Benfica,Boavista,3,3,D,1,3,A,1.14,7.5,17.0,,5,D,1,1,0,6,A,-2,4
P1,2017-01-14,Chaves,Sp Lisbon,2,2,D,1,1,D,6.5,3.6,1.57,,5,D,1,1,0,4,D,0,2
P1,2017-01-14,Feirense,Guimaraes,0,0,D,0,0,D,3.6,3.2,2.1,,5,D,1,1,0,0,D,0,0
P1,2017-01-14,Setubal,Nacional,1,0,H,0,0,D,2.2,3.1,3.5,,5,H,3,0,1,1,D,0,0
P1,2017-01-15,Belenenses,Rio Ave,1,0,H,0,0,D,2.63,3.1,2.75,,6,H,3,0,1,1,D,0,0
