,league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts,season_file
53,P1,2019-09-23,21:00,Sp Lisbon,Famalicao,1,2,A,1,0,H,20,13,5,7,6,6,16,14,3,2,0,0,21,0,A,0,3,-1,3,H,1,1,30,20,cleanP1_1920
54,P1,2019-09-27,20:30,Boavista,Tondela,0,0,D,0,0,D,16,5,3,0,6,4,21,17,3,4,0,0,20,4,D,1,1,0,0,D,0,0,30,40,cleanP1_1920
57,P1,2019-09-28,21:30,Famalicao,Belenenses,3,1,H,0,1,A,16,9,6,3,6,2,15,10,2,2,0,0,21,5,H,3,0,2,4,A,-1,1,20,20,cleanP1_1920
56,P1,2019-09-28,19:00,Benfica,Setubal,1,0,H,0,0,D,13,9,3,2,14,3,11,8,4,4,1,0,19,5,H,3,0,1,1,D,0,0,65,40,cleanP1_1920
55,P1,2019-09-28,16:30,Maritimo,Moreirense,2,1,H,0,0,D,12,12,4,4,6,2,13,21,4,6,0,0,16,5,H,3,0,1,3,D,0,0,40,60,cleanP1_1920
58,P1,2019-09-29,16:00,Guimaraes,Pacos Ferreira,1,0,H,0,0,D,14,5,4,1,10,3,16,23,1,6,0,1,16,6,H,3,0,1,1,D,0,0,10,85,cleanP1_1920
59,P1,2019-09-29,16:00,Santa Clara,Gil Vicente,1,0,H,0,0,D,14,7,6,5,6,6,17,15,4,1,0,1,16,6,H,3,0,1,1,D,0,0,40,35,cleanP1_1920
60,P1,2019-09-29,18:00,Portimonense,Sp Braga,0,1,A,0,1,A,12,9,5,3,2,7,11,23,3,4,0,0,18,6,A,0,3,-1,1,A,-1,1,30,40,cleanP1_1920
61,P1,2019-09-29,20:00,Rio Ave,Porto,0,1,A,0,1,A,8,13,1,5,0,6,15,15,3,3,0,0,20,6,A,0,3,-1,1,A,-1,1,30,30,cleanP1_1920
62,P1,2019-09-30,20:15,Aves,Sp Lisbon,0,1,A,0,0,D,7,15,2,3,3,7,12,19,3,2,0,0,20,0,A,0,3,-1,1,D,0,0,30,20,cleanP1_1920
63,P1,2019-10-05,15:30,Aves,Tondela,0,1,A,0,0,D,12,11,1,2,6,8,12,14,1,1,0,0,15,5,A,0,3,-1,1,D,0,0,10,10,cleanP1_1920
64,P1,2019-10-25,20:30,Pacos Ferreira,Rio Ave,0,0,D,0,0,D,16,4,3,0,2,4,19,15,0,1,0,0,20,4,D,1,1,0,0,D,0,0,0,10,cleanP1_1920
65,P1,2019-10-26,15:30,Belenenses,Aves,3,2,H,2,2,D,11,8,5,2,7,6,16,21,3,2,0,0,15,5,H,3,0,1,5,D,0,4,30,20,cleanP1_1920
66,P1,2019-10-26,15:30,Gil Vicente,Portimonense,1,1,D,1,1,D,6,10,2,4,2,3,22,20,3,2,1,0,15,5,D,1,1,0,2,D,0,2,55,20,cleanP1_1920
67,P1,2019-10-26,18:00,Setubal,Maritimo,0,0,D,0,0,D,11,10,2,3,5,5,14,20,0,1,0,0,18,5,D,1,1,0,0,D,0,0,0,10,cleanP1_1920
68,P1,2019-10-26,20:30,Moreirense,Boavista,1,1,D,1,0,H,9,23,4,4,1,10,18,20,3,4,1,0,20,5,D,1,1,0,2,H,1,1,55,40,cleanP1_1920
71,P1,2019-10-27,20:00,Sp Lisbon,Guimaraes,3,1,H,2,0,H,13,13,6,3,3,4,7,9,1,1,0,0,20,6,H,3,0,2,4,H,2,2,10,10,cleanP1_1920
70,P1,2019-10-27,17:30,Porto,Famalicao,3,0,H,1,0,H,19,5,9,2,4,3,14,12,0,3,0,0,17,6,H,3,0,3,3,H,1,1,0,30,cleanP1_1920
69,P1,2019-10-27,15:00,Tondela,Benfica,0,1,A,0,1,A,9,12,4,3,5,5,17,14,1,2,0,0,15,6,A,0,3,-1,1,A,-1,1,10,20,cleanP1_1920
72,P1,2019-10-28,20:15,Sp Braga,Santa Clara,2,0,H,1,0,H,20,8,12,5,4,6,18,7,1,1,0,0,20,0,H,3,0,2,2,H,1,1,10,10,cleanP1_1920
73,P1,2019-10-30,17:00,Rio Ave,Moreirense,1,1,D,0,1,A,20,8,7,4,13,3,14,14,1,1,0,0,17,2,D,1,1,0,2,A,-1,1,10,10,cleanP1_1920
74,P1,2019-10-30,18:45,Maritimo,Porto,1,1,D,1,0,H,6,14,2,5,6,9,17,20,4,5,0,0,18,2,D,1,1,0,2,H,1,1,40,50,cleanP1_1920
