league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2020-12-05,15:30,Guimaraes,Portimonense,1,0,H,1,0,H,10,7,3,1,5,3,20,17,6,4,0,0,15,5,H,3,0,1,1,H,1,1,60,40
P1,2020-12-05,15:30,Moreirense,Gil Vicente,1,1,D,0,0,D,4,6,2,2,1,2,17,18,3,2,0,0,15,5,D,1,1,0,2,D,0,0,30,20
P1,2020-12-05,18:00,Famalicao,Sp Lisbon,2,2,D,1,2,A,5,15,2,6,3,4,20,21,6,5,0,1,18,5,D,1,1,0,4,A,-1,3,60,75
P1,2020-12-05,20:30,Porto,Tondela,4,3,H,2,2,D,16,8,9,4,5,2,16,12,3,5,1,0,20,5,H,3,0,1,7,D,0,4,55,50
P1,2020-12-06,15:00,Nacional,Santa Clara,1,3,A,1,2,A,15,13,4,8,7,12,13,9,3,2,0,0,15,6,A,0,3,-2,4,A,-1,3,30,20
P1,2020-12-06,17:30,Rio Ave,Boavista,0,0,D,0,0,D,7,6,3,2,7,0,14,15,2,0,0,0,17,6,D,1,1,0,0,D,0,0,20,0
P1,2020-12-06,20:00,Belenenses,Sp Braga,2,1,H,2,0,H,11,16,5,6,5,9,11,15,2,1,0,1,20,6,H,3,0,1,3,H,2,2,20,35
P1,2020-12-06,20:00,Benfica,Pacos Ferreira,2,1,H,0,1,A,13,16,4,5,6,4,21,19,1,3,0,0,20,6,H,3,0,1,3,A,-1,1,10,30
P1,2020-12-07,20:15,Farense,Maritimo,2,1,H,1,0,H,4,10,4,4,1,4,17,16,4,5,0,1,20,0,H,3,0,1,3,H,1,1,40,75
P1,2020-12-18,20:30,Portimonense,Famalicao,0,0,D,0,0,D,19,8,6,4,4,1,23,17,3,3,0,0,20,4,D,1,1,0,0,D,0,0,30,30
